adm2_name,year,aggregation_method,H38_polygon,H40_polygon,H46_polygon
Ainabkoi,1991,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1992,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1993,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1994,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1995,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1996,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1997,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1998,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,1999,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2000,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2001,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2002,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2003,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2004,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2005,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2006,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2007,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2008,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2009,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2010,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2011,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2012,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2013,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2014,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2015,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2016,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2017,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2018,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2019,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2020,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2021,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2022,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2023,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2024,nearest grid centre (small polygon),0.0,0.0,0.0
Ainabkoi,2025,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1991,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1992,nearest grid centre (small polygon),8.0,0.0,0.0
Ainamoi,1993,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1994,nearest grid centre (small polygon),1.0,0.0,0.0
Ainamoi,1995,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1996,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1997,nearest grid centre (small polygon),17.0,0.0,0.0
Ainamoi,1998,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,1999,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2000,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2001,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2002,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2003,nearest grid centre (small polygon),8.0,0.0,0.0
Ainamoi,2004,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2005,nearest grid centre (small polygon),12.0,0.0,0.0
Ainamoi,2006,nearest grid centre (small polygon),7.0,0.0,0.0
Ainamoi,2007,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2008,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2009,nearest grid centre (small polygon),3.0,0.0,0.0
Ainamoi,2010,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2011,nearest grid centre (small polygon),1.0,0.0,0.0
Ainamoi,2012,nearest grid centre (small polygon),4.0,0.0,0.0
Ainamoi,2013,nearest grid centre (small polygon),4.0,0.0,0.0
Ainamoi,2014,nearest grid centre (small polygon),5.0,0.0,0.0
Ainamoi,2015,nearest grid centre (small polygon),22.0,0.0,0.0
Ainamoi,2016,nearest grid centre (small polygon),12.0,0.0,0.0
Ainamoi,2017,nearest grid centre (small polygon),20.0,0.0,0.0
Ainamoi,2018,nearest grid centre (small polygon),6.0,0.0,0.0
Ainamoi,2019,nearest grid centre (small polygon),31.0,1.0,0.0
Ainamoi,2020,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2021,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2022,nearest grid centre (small polygon),0.0,0.0,0.0
Ainamoi,2023,nearest grid centre (small polygon),2.0,0.0,0.0
Ainamoi,2024,nearest grid centre (small polygon),6.0,0.0,0.0
Ainamoi,2025,nearest grid centre (small polygon),8.0,0.0,0.0
Aldai,1991,grid-centres within polygon,0.0,0.0,0.0
Aldai,1992,grid-centres within polygon,0.0,0.0,0.0
Aldai,1993,grid-centres within polygon,0.0,0.0,0.0
Aldai,1994,grid-centres within polygon,0.0,0.0,0.0
Aldai,1995,grid-centres within polygon,0.0,0.0,0.0
Aldai,1996,grid-centres within polygon,0.0,0.0,0.0
Aldai,1997,grid-centres within polygon,0.0,0.0,0.0
Aldai,1998,grid-centres within polygon,0.0,0.0,0.0
Aldai,1999,grid-centres within polygon,0.0,0.0,0.0
Aldai,2000,grid-centres within polygon,0.0,0.0,0.0
Aldai,2001,grid-centres within polygon,0.0,0.0,0.0
Aldai,2002,grid-centres within polygon,0.0,0.0,0.0
Aldai,2003,grid-centres within polygon,0.0,0.0,0.0
Aldai,2004,grid-centres within polygon,0.0,0.0,0.0
Aldai,2005,grid-centres within polygon,0.0,0.0,0.0
Aldai,2006,grid-centres within polygon,0.0,0.0,0.0
Aldai,2007,grid-centres within polygon,0.0,0.0,0.0
Aldai,2008,grid-centres within polygon,0.0,0.0,0.0
Aldai,2009,grid-centres within polygon,0.0,0.0,0.0
Aldai,2010,grid-centres within polygon,0.0,0.0,0.0
Aldai,2011,grid-centres within polygon,0.0,0.0,0.0
Aldai,2012,grid-centres within polygon,0.0,0.0,0.0
Aldai,2013,grid-centres within polygon,0.0,0.0,0.0
Aldai,2014,grid-centres within polygon,0.0,0.0,0.0
Aldai,2015,grid-centres within polygon,0.0,0.0,0.0
Aldai,2016,grid-centres within polygon,0.0,0.0,0.0
Aldai,2017,grid-centres within polygon,0.0,0.0,0.0
Aldai,2018,grid-centres within polygon,0.0,0.0,0.0
Aldai,2019,grid-centres within polygon,0.0,0.0,0.0
Aldai,2020,grid-centres within polygon,0.0,0.0,0.0
Aldai,2021,grid-centres within polygon,0.0,0.0,0.0
Aldai,2022,grid-centres within polygon,0.0,0.0,0.0
Aldai,2023,grid-centres within polygon,0.0,0.0,0.0
Aldai,2024,grid-centres within polygon,0.0,0.0,0.0
Aldai,2025,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1991,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1992,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1993,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1994,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1995,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1996,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1997,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1998,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,1999,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2000,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2001,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2002,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2003,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2004,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2005,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2006,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2007,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2008,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2009,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2010,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2011,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2012,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2013,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2014,grid-centres within polygon,0.0,0.0,0.0
Alego Usonga,2015,grid-centres within polygon,0.0,0.0,0.0
