adm2_name,mk_z,p_unadjusted,sen_slope_days_per_year,p_bh_fdr,significant_bh_fdr_0_05
Ainabkoi,0.0,1.0,0.0,1.0,False
Ainamoi,2.0819833097180105,0.03734399425915269,0.06666666666666667,0.1353719791894285,False
Aldai,0.0,1.0,0.0,1.0,False
Alego Usonga,0.0,1.0,0.0,1.0,False
Awendo,2.0950580273108548,0.03616583447913513,0.0,0.134462717935246,False
Bahati,0.0,1.0,0.0,1.0,False
Balambala,4.601263984178787,4.199348041744599e-06,2.305,9.367776400814876e-05,True
Banissa,3.8818217674866213,0.00010367685489121037,0.4431818181818182,0.000939571497451594,True
Baringo Central,0.0,1.0,0.0,1.0,False
Baringo North,0.6542783148565474,0.5129325141674195,0.08928571428571429,1.0,False
Baringo South,1.3085566297130948,0.19068458015566359,0.06666666666666665,0.5168086751882471,False
Belgut,0.0,1.0,0.0,1.0,False
Bobasi,0.6435959029348384,0.5198375077168675,0.0,1.0,False
Bomachoge Borabu,0.0,1.0,0.0,1.0,False
Bomachoge Chache,0.6435959029348384,0.5198375077168675,0.0,1.0,False
Bomet Central,0.0,1.0,0.0,1.0,False
Bomet East,0.0,1.0,0.0,1.0,False
Bonchari,0.6435959029348384,0.5198375077168675,0.0,1.0,False
Bondo,0.0,1.0,0.0,1.0,False
Borabu,0.0,1.0,0.0,1.0,False
Budalangi,0.0,1.0,0.0,1.0,False
Bumula,2.397832301024418,0.016492413964345864,0.0,0.06463243310351757,False
Bura,4.430846799579573,9.386375922959544e-06,1.9615384615384615,0.0001432657377714878,True
Buret,0.0,1.0,0.0,1.0,False
Butere,1.6335078957254006,0.10236222147845853,0.0,0.30290861457911195,False
Butula,0.0,1.0,0.0,1.0,False
Buuri,0.0,1.0,0.0,1.0,False
Cental Imenti,0.0,1.0,0.0,1.0,False
Changamwe,3.6404646421741442,0.0002721464799355644,0.8571428571428571,0.0017773494391040146,True
Chepalungu,0.0,1.0,0.0,1.0,False
Cherangany,0.0,1.0,0.0,1.0,False
Chesumei,0.0,1.0,0.0,1.0,False
Dadaab,3.2947322355848105,0.0009851550329820213,1.0833333333333333,0.005128357598855297,True
Dagoretti,0.0,1.0,0.0,1.0,False
Dujis,4.5524223976140785,5.303172503801079e-06,1.625,0.0001025280017401542,True
Eldama Ravine,0.0,1.0,0.0,1.0,False
Eldas,5.680572819973811,1.342443800567139e-08,2.0178571428571423,3.893087021644703e-06,True
Embakasi Central,0.0,1.0,0.0,1.0,False
Embakasi East,0.0,1.0,0.0,1.0,False
Embakasi North,0.0,1.0,0.0,1.0,False
Embakasi South,0.0,1.0,0.0,1.0,False
Embakasi West,0.0,1.0,0.0,1.0,False
Emgwen,0.0,1.0,0.0,1.0,False
Emuhaya,1.6335078957254006,0.10236222147845853,0.0,0.30290861457911195,False
Emurua Dikirr,0.0,1.0,0.0,1.0,False
Endebess,0.0,1.0,0.0,1.0,False
Fafi,2.8402864099869056,0.004507304559912884,0.8355263157894738,0.018943743802532408,True
