adm2_name,year,scenario,H38,pregnancy_denominator,priority,rank
Ainabkoi,2015,WRA-share base,0.0,6988.270673,0.0,153
Ainamoi,2015,WRA-share base,19.93782242976493,8422.767988,17.028187868314,68
Aldai,2015,WRA-share base,0.0,7711.347328,0.0,153
Alego Usonga,2015,WRA-share base,0.0335836295107905,9818.189651,15.048835977289471,94
Awendo,2015,WRA-share base,0.883525522616079,4895.068795,11.242782167895276,147
Bahati,2015,WRA-share base,0.0,11790.72047,0.0,153
Balambala,2015,WRA-share base,165.06370930372418,2027.254397,53.32982254683168,12
Banissa,2015,WRA-share base,11.388956610140434,5215.501103,19.369671502526288,57
Baringo Central,2015,WRA-share base,0.0,3821.666028,0.0,153
Baringo North,2015,WRA-share base,10.732495450910356,3824.216377,16.025321135624928,78
Baringo South,2015,WRA-share base,12.969741974025776,3966.553426,16.210914456407526,76
Belgut,2015,WRA-share base,4.413005632670221,6334.404401,12.586893405414989,129
Bobasi,2015,WRA-share base,0.7346760330590065,8497.649006,13.979197303684309,107
Bomachoge Borabu,2015,WRA-share base,0.0983469974890032,4766.032345,11.502159284584707,143
Bomachoge Chache,2015,WRA-share base,0.908635251876684,4369.523759,11.648831340755923,142
Bomet Central,2015,WRA-share base,0.0,6876.449969,0.0,153
Bomet East,2015,WRA-share base,0.0,6905.330464,0.0,153
Bonchari,2015,WRA-share base,1.0,6342.344108,12.404337160999303,131
Bondo,2015,WRA-share base,0.0011950266521263,9323.889528,14.795459401315611,97
Borabu,2015,WRA-share base,0.0,4684.975949,0.0,153
Budalangi,2015,WRA-share base,0.0,3942.820815,0.0,153
Bumula,2015,WRA-share base,2.3573661961771983,9283.061738,16.065858646034847,77
Bura,2015,WRA-share base,153.7750687512504,13915.26562,57.83572590238355,7
Buret,2015,WRA-share base,0.0,9041.562483,0.0,153
Butere,2015,WRA-share base,4.0,6109.737281,13.002613744656944,122
Butula,2015,WRA-share base,1.4330564367959449,5797.516952,13.18260723147371,118
Buuri,2015,WRA-share base,0.0,6404.77984,0.0,153
Cental Imenti,2015,WRA-share base,0.0,7469.745463,0.0,153
Changamwe,2015,WRA-share base,58.56761858278958,7685.679551,32.1996336513393,52
Chepalungu,2015,WRA-share base,0.0,9684.621254,0.0,153
Cherangany,2015,WRA-share base,0.0,9735.818494,0.0,153
Chesumei,2015,WRA-share base,0.0,8203.152076,0.0,153
Dadaab,2015,WRA-share base,225.81040644939367,10048.65418,64.20838207710796,4
Dagoretti,2015,WRA-share base,0.0,19980.75469,0.0,153
Dujis,2015,WRA-share base,194.0191042285753,8852.125226,55.7232965087846,9
Eldama Ravine,2015,WRA-share base,0.0,5912.032433,0.0,153
Eldas,2015,WRA-share base,113.1764215365171,4634.067307,47.68420927379144,23
Embakasi Central,2015,WRA-share base,0.0,15892.0433,0.0,153
Embakasi East,2015,WRA-share base,0.0,40142.80626,0.0,153
Embakasi North,2015,WRA-share base,0.0,6054.743995,0.0,153
Embakasi South,2015,WRA-share base,0.0,14740.42069,0.0,153
Embakasi West,2015,WRA-share base,0.0,16419.54277,0.0,153
Emgwen,2015,WRA-share base,0.0,6804.61947,0.0,153
Emuhaya,2015,WRA-share base,2.4672974216278067,3474.29899,9.340854628530549,152
Emurua Dikirr,2015,WRA-share base,0.0,4797.87404,0.0,153
Endebess,2015,WRA-share base,0.0,4720.444625,0.0,153
Fafi,2015,WRA-share base,192.6435546101756,6948.659363,59.14304816966488,6
Funyula,2015,WRA-share base,0.0,4466.047446,0.0,153
Gachoka,2015,WRA-share base,0.0,7654.676676,0.0,153
Galole,2015,WRA-share base,169.23596305517498,6912.861406,55.10320830048172,10
Ganze,2015,WRA-share base,61.63780480035855,6828.417068,41.2797664582077,33
Garsen,2015,WRA-share base,142.44298374407933,4060.324008,49.58535855089431,21
Gatanga,2015,WRA-share base,0.0,7180.27657,0.0,153
Gatundu North,2015,WRA-share base,0.0,4685.20745,0.0,153
Gatundu South,2015,WRA-share base,0.0,5127.174215,0.0,153
Gem,2015,WRA-share base,3.8236458414724734,7462.314941,13.251734368940957,113
Gichugu,2015,WRA-share base,0.0,11813.21598,0.0,153
Gilgil,2015,WRA-share base,0.0,11039.8659,0.0,153
Githunguri,2015,WRA-share base,0.0,7259.729311,0.0,153
Hamisi,2015,WRA-share base,0.0,6106.886217,0.0,153
Homa Bay,2015,WRA-share base,0.0005417511464597,5909.319473,12.966271146931634,123
Igembe Central,2015,WRA-share base,3.184704224103642,9471.565263,16.90905467951302,70
Igembe North,2015,WRA-share base,0.3199711571919157,7310.30571,15.450692450089551,83
Igembe South,2015,WRA-share base,10.75635217928268,8009.931255,16.740745036336044,72
Ijara,2015,WRA-share base,146.3274268194786,5607.216594,52.09446936659842,15
Ikolomani,2015,WRA-share base,0.0,4564.187528,0.0,153
Isiolo North,2015,WRA-share base,130.42612387680364,8656.651297,51.29235324060679,16
Isiolo South,2015,WRA-share base,121.0463250380228,5267.353153,48.14102088178536,22
Jomvu,2015,WRA-share base,55.50437555708453,7755.664961,36.24798610633765,49
Juja,2015,WRA-share base,0.0,33604.52576,0.0,153
Kabete,2015,WRA-share base,0.0,9579.335139,0.0,153
Kabondo Kasipul,2015,WRA-share base,0.6176228678817479,4895.28898,12.401764875700469,132
Kabuchai,2015,WRA-share base,0.82548044341514,7811.02898,13.820488490529556,109
Kacheliba,2015,WRA-share base,0.5560798874916655,4150.946552,15.230568516723146,90
Kaiti,2015,WRA-share base,0.0,5474.629645,0.0,153
Kajiado Central,2015,WRA-share base,6.670375971891039,7192.540231,17.52459865137752,63
Kajiado East,2015,WRA-share base,0.7616180386168401,21317.77144,24.38647069284016,53
Kajiado North,2015,WRA-share base,0.0,20181.97518,0.0,153
Kajiado South,2015,WRA-share base,0.3482336103856129,8769.186021,16.893006748038115,71
Kajiado West,2015,WRA-share base,70.90392232479722,10046.55585,44.161391202855484,30
Kaloleni,2015,WRA-share base,49.56589542471825,7479.019038,38.55044296952717,43
Kamukunji,2015,WRA-share base,0.0,13535.54667,0.0,153
Kandara,2015,WRA-share base,0.0,6381.130609,0.0,153
Kanduyi,2015,WRA-share base,9.992434705369876,13954.77546,18.67961802460661,59
Kangema,2015,WRA-share base,0.0,4197.913172,0.0,153
Kangundo,2015,WRA-share base,0.0,3863.306074,0.0,153
Kapenguria,2015,WRA-share base,0.0,7720.825851,0.0,153
Kapseret,2015,WRA-share base,0.0,10060.46429,0.0,153
Karachuonyo,2015,WRA-share base,1.6964126551323084,7159.242521,13.858821872913047,108
Kasarani,2015,WRA-share base,0.0,49698.96221,0.0,153
Kasipul,2015,WRA-share base,1.0,5660.724318,13.136215882480373,120
Kathiani,2015,WRA-share base,0.0,4690.260706,0.0,153
Keiyo North,2015,WRA-share base,0.0,4760.92726,0.0,153
Keiyo South,2015,WRA-share base,0.0,4957.839009,0.0,153
Kesses,2015,WRA-share base,0.0,8805.944638,0.0,153
Khwisero,2015,WRA-share base,3.0180689918571875,4522.772432,11.788445658188284,141
Kiambaa,2015,WRA-share base,0.0,15719.83462,0.0,153
Kiambu,2015,WRA-share base,0.0,8429.33013,0.0,153
Kibra,2015,WRA-share base,0.0,8297.851332,0.0,153
Kibwezi East,2015,WRA-share base,7.361978463348187,6408.226428,17.071112582834775,67
Kibwezi West,2015,WRA-share base,0.0064525377534594,6182.771949,15.546680344205608,81
Kieni,2015,WRA-share base,0.0,8804.016716,0.0,153
Kigumo,2015,WRA-share base,0.0,6596.984447,0.0,153
Kiharu,2015,WRA-share base,0.0,6546.646825,0.0,153
Kikuyu,2015,WRA-share base,0.0,13519.32048,0.0,153
Kilgoris,2015,WRA-share base,0.1381556607616104,10868.76971,17.073660886051165,66
Kilifi North,2015,WRA-share base,22.029722159647257,15781.3146,22.165461839460527,54
Kilifi South,2015,WRA-share base,14.077875678539208,11992.95678,18.94966429793179,58
