adm2_name,group,year,aggregation_method,mean_daily_max_heat_index_c,p95_daily_max_heat_index_c,annual_days_dailymax_heat_index_ge_32c,heat_index_hazard_score,priority_heat_index_gated,rank_heat_index_gated,priority_utci_gated,rank_utci_gated
Turkana East,age60plus,2025,grid-centres within polygon,34.26596440357819,36.453422543225614,348,98.58356940509915,96.9576636526733,2.0,71.38895048688414,1.0
Turkana South,age60plus,2025,grid-centres within polygon,34.168028286851424,36.536609177609556,344,97.45042492917847,97.01893017647652,1.0,70.10385094606931,2.0
Bura,age60plus,2025,grid-centres within polygon,34.406625428115625,38.047059790422516,287,81.30311614730878,87.50746752611144,20.0,69.7459601716821,3.0
Wajir South,age60plus,2025,grid-centres within polygon,35.56282335399526,38.93405057303291,328,92.91784702549575,94.98026691606094,5.0,67.3369427547849,4.0
Turkana Central,age60plus,2025,grid-centres within polygon,34.96639663412407,37.663775101561406,353,100.0,96.89903888435528,3.0,67.08850890876633,5.0
Dadaab,age60plus,2025,grid-centres within polygon,35.61680241203923,39.336560504594544,326,92.35127478753542,92.77025443336274,8.0,66.77949312566648,6.0
Isiolo North,age60plus,2025,grid-centres within polygon,33.75709452289714,36.31707386006778,303,85.8356940509915,89.7592705446242,14.0,61.47598815174585,7.0
Galole,age60plus,2025,grid-centres within polygon,35.14406687270481,39.10589298852618,301,85.26912181303116,89.17971864879857,18.0,61.47468662421971,8.0
Fafi,age60plus,2025,grid-centres within polygon,35.549817439067084,39.332400799837195,313,88.6685552407932,91.96567180686488,9.0,61.407987267463405,9.0
Magarini,age60plus,2025,grid-centres within polygon,33.901890956644,38.0373015302486,251,71.10481586402267,81.41501072666998,28.0,60.033011749828205,10.0
Dujis,age60plus,2025,grid-centres within polygon,34.940709496627576,38.574934153828565,298,84.41926345609065,84.86522636815032,23.0,59.79402507218054,11.0
Lagdera,age60plus,2025,grid-centres within polygon,34.75835692192701,38.080105622394846,311,88.10198300283287,91.82321162500737,11.0,59.384687341939,12.0
Kinango,age60plus,2025,grid-centres within polygon,32.38438702948485,36.90871497728994,197,55.80736543909349,73.12513048237133,43.0,59.04875981134197,13.0
North Horr,age60plus,2025,grid-centres within polygon,34.17344975121342,36.994401827415366,327,92.63456090651557,93.37313302170953,6.0,57.32019542405585,14.0
Turkana West,age60plus,2025,grid-centres within polygon,33.940278402384216,36.763961899509574,315,89.23512747875354,91.94742302063999,10.0,56.69402626484329,15.0
Mandera East,age60plus,2025,grid-centres within polygon,33.696242530141184,37.15960365002748,291,82.43626062322946,88.48625015136457,19.0,55.946044652785154,16.0
Kitui South,age60plus,2025,grid-centres within polygon,32.5541310514836,35.83791947419199,226,64.02266288951841,78.15411977895603,31.0,55.90709759490241,17.0
Turkana North,age60plus,2025,grid-centres within polygon,34.53921371963267,37.50563654892678,340,96.3172804532578,95.79449159688589,4.0,55.31206083546557,18.0
Ijara,age60plus,2025,grid-centres within polygon,35.33954275434019,39.654288407919886,297,84.13597733711048,89.37993254649315,17.0,55.25589209366777,19.0
Garsen,age60plus,2025,grid-centres within polygon,34.62794928442328,38.62217645052653,282,79.88668555240793,85.99220115692762,22.0,54.52258325792484,20.0
Wajir West,age60plus,2025,grid-centres within polygon,34.45014464356806,37.53889568102662,308,87.25212464589235,91.5547381087725,12.0,54.011749375479866,21.0
Balambala,age60plus,2025,grid-centres within polygon,34.26096002002192,37.58241930432857,295,83.56940509915015,90.00507478458948,13.0,53.80587294439153,22.0
Mwingi North,age60plus,2025,grid-centres within polygon,32.00983336296759,35.026942681357674,204,57.79036827195468,75.19148391894161,34.0,53.66943386569688,23.0
Ganze,age60plus,2025,grid-centres within polygon,32.98514840740184,37.31283267068419,220,62.32294617563739,77.04520756034015,32.0,53.63459823617092,24.0
Wajir East,age60plus,2025,grid-centres within polygon,34.546403376826376,37.89006691139476,303,85.8356940509915,89.56660653724944,15.0,53.535001266461066,25.0
Isiolo South,age60plus,2025,grid-centres within polygon,33.81002816386933,36.72937429042079,300,84.98583569405099,89.4512508223801,16.0,53.45584600711761,26.0
Matuga,age60plus,2025,grid-centres within polygon,32.861753920757856,37.75364303757763,205,58.07365439093484,73.57263993446203,40.0,51.61549138621255,27.0
Samburu North,age60plus,2025,grid-centres within polygon,29.778207450502478,31.663675058948847,9,2.54957507082153,44.71477099639284,60.0,51.55303369374244,28.0
Lunga Lunga,age60plus,2025,grid-centres within polygon,33.38578645665501,38.162781600149586,222,62.889518413597735,76.58477446317849,33.0,51.42862497620981,29.0
Laisamis,age60plus,2025,grid-centres within polygon,33.86202516861529,36.31773423584676,322,91.21813031161473,92.80731218781226,7.0,51.29499729812429,30.0
Kilifi North,age60plus,2025,grid-centres within polygon,32.845879703749695,37.16433795848458,215,60.906515580736546,73.43813787612605,41.0,51.290980846048384,31.0
Lamu West,age60plus,2025,grid-centres within polygon,34.93656300428286,39.52677565349274,271,76.77053824362606,84.45470853882694,24.0,51.24636594594745,32.0
Loima,age60plus,2025,grid-centres within polygon,32.57109917877728,34.94266330870129,258,73.08781869688386,83.78951683596313,26.0,50.99118929297117,33.0
Kitui East,age60plus,2025,grid-centres within polygon,31.90490940051126,35.126505050140885,199,56.373937677053824,74.3075667270845,39.0,50.96586669498656,34.0
Mandera South,age60plus,2025,grid-centres within polygon,33.1786843391321,36.65019907349201,253,71.671388101983,83.6393557489177,27.0,50.902589184179625,35.0
Kaloleni,age60plus,2025,grid-centres within polygon,32.77236046864016,37.49503897992147,213,60.3399433427762,74.42794452538816,38.0,50.497693072741626,36.0
Malindi,age60plus,2025,nearest grid centre (small polygon),32.845879703749695,37.16433795848458,215,60.906515580736546,74.51201280848164,37.0,50.2506634516464,37.0
Eldas,age60plus,2025,grid-centres within polygon,33.576429942934595,36.61393399743652,276,78.18696883852691,86.68427093836704,21.0,48.94427412655605,38.0
Kilifi South,age60plus,2025,grid-centres within polygon,31.989370820171096,36.260013962977965,190,53.82436260623229,69.69214064462635,48.0,48.630866148249225,39.0
Kajiado West,age60plus,2025,grid-centres within polygon,28.28066559443286,31.02721696817842,3,0.8498583569405099,42.925387933811294,61.0,48.626257338227525,40.0
Rabai,age60plus,2025,nearest grid centre (small polygon),33.11035417256197,37.97907716989582,215,60.906515580736546,73.32945590064077,42.0,46.64876616167606,41.0
Mwingi East,age60plus,2025,grid-centres within polygon,31.545890361747656,34.532292618108656,171,48.44192634560906,69.83719574043455,47.0,46.31639139119481,42.0
Moyale,age60plus,2025,grid-centres within polygon,32.117577958669884,35.327085797698686,207,58.640226628895185,75.06077911143248,35.0,46.15088581392549,43.0
Tarbaj,age60plus,2025,grid-centres within polygon,33.05538636231873,36.26817038878907,254,71.95467422096317,83.8142975735981,25.0,44.58397733626144,44.0
Tharaka,age60plus,2025,grid-centres within polygon,31.282443461391214,33.850101869832855,139,39.376770538243626,63.788620506009025,54.0,43.660110187057136,45.0
Tiaty,age60plus,2025,grid-centres within polygon,31.207943078902773,33.66146798622257,104,29.46175637393768,59.3483129654133,57.0,42.80882153662414,46.0
Samburu West,age60plus,2025,grid-centres within polygon,26.20834022549126,28.616787347976427,0,0,0,201.0,42.38542984250208,47.0
Lafey,age60plus,2025,grid-centres within polygon,32.67734806084422,36.07655506368376,234,66.28895184135978,81.12350667388482,29.0,42.36540506992253,48.0
Lamu East,age60plus,2025,grid-centres within polygon,33.55819523236064,38.053734592548196,239,67.70538243626062,79.32179021460946,30.0,42.05663877167186,49.0
Wajir North,age60plus,2025,grid-centres within polygon,31.904399985525718,35.07515163757743,201,56.94050991501416,74.83809986194994,36.0,41.585364719865055,50.0
Voi,age60plus,2025,grid-centres within polygon,31.275906821693564,34.68187238924817,156,44.19263456090651,65.6458763414666,53.0,41.53130418167972,51.0
Sigor,age60plus,2025,grid-centres within polygon,29.785783724204233,32.06589647809943,22,6.232294617563739,46.1838788775198,59.0,40.71253866286087,52.0
Makueni,age60plus,2025,grid-centres within polygon,27.994565353058675,30.352717200056393,0,0,0,201.0,39.316132952160935,53.0
Mandera North,age60plus,2025,grid-centres within polygon,31.684956038010807,34.97723367622769,169,47.875354107648725,70.24201289874556,46.0,39.09861819318448,54.0
Gichugu,age60plus,2025,nearest grid centre (small polygon),17.602074037864455,20.256038588845897,0,0,0,201.0,0.0,155.0
Mandera West,age60plus,2025,grid-centres within polygon,31.651179507207146,34.86504950845105,176,49.858356940509914,71.62919431316004,44.0,38.59721038404511,55.0
Nyali,age60plus,2025,nearest grid centre (small polygon),32.21453334414804,36.776948422063825,194,54.95750708215297,61.259134073467,56.0,37.76412338817811,56.0
Kirinyaga Central,age60plus,2025,grid-centres within polygon,22.938770079564506,26.46059835319701,0,0,0,201.0,0.0,155.0
Mbooni,age60plus,2025,grid-centres within polygon,28.31993444551933,30.856587341901772,5,1.4164305949008498,11.798318768606032,79.0,0.0,155.0
Likoni,age60plus,2025,nearest grid centre (small polygon),32.21453334414804,36.776948422063825,194,54.95750708215297,66.67241895716487,51.0,36.74035465322822,57.0
Laikipia East,age60plus,2025,grid-centres within polygon,24.9386409045721,27.37400585727757,0,0,0,201.0,36.21298310844429,58.0
Saku,age60plus,2025,grid-centres within polygon,31.624828638850442,33.98838228085467,159,45.04249291784703,65.88859989725854,52.0,36.212026688193895,59.0
Jomvu,age60plus,2025,nearest grid centre (small polygon),33.11035417256197,37.97907716989582,215,60.906515580736546,71.48141332745574,45.0,35.97117625425702,60.0
Mvita,age60plus,2025,nearest grid centre (small polygon),32.21453334414804,36.776948422063825,194,54.95750708215297,62.4399908085666,55.0,35.761154524659666,61.0
Alego Usonga,age60plus,2025,grid-centres within polygon,27.54329953850584,30.06277033465948,1,0.28328611898017,9.531557365219895,105.0,34.55624758968582,62.0
Kisauni,age60plus,2025,nearest grid centre (small polygon),32.21453334414804,36.776948422063825,194,54.95750708215297,67.12025811981809,49.0,34.313653302348065,63.0
Mwala,age60plus,2025,grid-centres within polygon,26.22771462350389,28.825608365568442,0,0,0,201.0,0.0,155.0
South Imenti,age60plus,2025,nearest grid centre (small polygon),19.07193867402196,21.683045861360604,0,0,0,201.0,0.0,155.0
Maragwa,age60plus,2025,nearest grid centre (small polygon),26.47849397637748,29.18329377610036,0,0,0,201.0,0.0,155.0
Changamwe,age60plus,2025,nearest grid centre (small polygon),33.11035417256197,37.97907716989582,215,60.906515580736546,67.06984951379619,50.0,31.792773305825925,64.0
Machakos Town,age60plus,2025,grid-centres within polygon,25.053533519069248,27.801978983552377,0,0,0,201.0,0.0,155.0
Cental Imenti,age60plus,2025,grid-centres within polygon,22.897961333978046,25.167233494078967,0,0,0,201.0,0.0,155.0
Kieni,age60plus,2025,grid-centres within polygon,21.978558272074558,25.23898477125741,0,0,0,201.0,0.0,155.0
