adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Turkana East,age60plus,2025,258.97424337615263,0.5461274510270937,100.0,-0.4886857142857143,100.0,12.174166690051257,84.91133653245838,71.38895048688414,1,True,Severe-heat screening priority,71.38895048688414,1,65.69516774083654,5
Turkana South,age60plus,2025,255.43492552728284,0.0,100.0,-0.5940390070921986,89.17999926107036,25.44551629017419,89.47464310285571,70.10385094606931,2,True,Severe-heat screening priority,70.10385094606931,2,68.03338621803341,2
Bura,age60plus,2025,169.38061277375107,0.0,100.0,-0.4970052356020942,69.24265453558574,62.90582177339449,85.27169096727735,69.7459601716821,3,True,Severe-heat screening priority,69.7459601716821,3,72.47338909208587,1
Wajir South,age60plus,2025,221.9536185145301,0.0,100.0,-0.663955,81.42294051045428,28.929581406655867,92.50300701358849,67.3369427547849,4,True,Severe-heat screening priority,67.3369427547849,4,67.61850964356621,3
Turkana Central,age60plus,2025,232.96601030606607,0.0,100.0,-0.3597581395348837,83.97432747032444,30.01196638577532,79.32692589570186,67.08850890876633,5,True,Severe-heat screening priority,67.08850890876633,5,64.43773991726721,8
Dadaab,age60plus,2025,218.3942942889105,0.0,100.0,-0.371765625,80.59830462870372,34.911240932203945,79.84702200145493,66.77949312566648,6,True,Severe-heat screening priority,66.77949312566648,6,65.11885585412087,6
Isiolo North,age60plus,2025,159.429753411523,0.0,100.0,-0.4598943661971831,66.93720688198846,40.36961850024444,83.6642587771924,61.47598815174585,7,True,Severe-heat screening priority,61.47598815174585,7,63.657028053141765,9
Galole,age60plus,2025,183.63313835866307,0.0,100.0,-0.4186551724137931,72.54472629355837,30.977951703770515,81.87801101087628,61.47468662421971,8,True,Severe-heat screening priority,61.47468662421971,8,61.80022966940172,13
Fafi,age60plus,2025,195.86445636885367,0.0,100.0,-0.5596808510638298,75.37851806776774,22.50611968587506,87.98644282952414,61.407987267463405,9,True,Severe-heat screening priority,61.407987267463405,9,61.957026861055645,12
Magarini,age60plus,2025,108.99166843878425,0.0,100.0,-0.4226046511627906,55.25154633555052,57.790997546059735,82.04908000971668,60.033011749828205,10,True,Severe-heat screening priority,60.033011749828205,10,65.03054129710898,7
Dujis,age60plus,2025,202.21409882683443,0.0,100.0,0.1734615384615384,76.84962400676832,30.307001337191643,56.23087644866976,59.79402507218054,11,True,Severe-heat screening priority,59.79402507218054,11,54.46250059754325,38
Lagdera,age60plus,2025,184.32897444217429,0.0,100.0,-0.585716049382716,72.7059398739762,20.0976647926759,89.1141398229954,59.384687341939,12,True,Severe-heat screening priority,59.384687341939,12,60.63924816321583,14
Kinango,age60plus,2025,54.00861862519477,0.0,100.0,-0.4416464646464646,42.51289346487221,77.45196304930775,82.87386327246612,59.04875981134197,13,True,Severe-heat screening priority,59.04875981134197,13,67.6129065955487,4
North Horr,age60plus,2025,158.8194198180675,0.0,100.0,-0.440576,66.79580279820806,27.19459787305153,82.82749682083976,57.32019542405585,14,True,Severe-heat screening priority,57.32019542405585,14,58.93929916403312,18
Turkana West,age60plus,2025,152.02646955161725,0.0,100.0,-0.5089103448275862,65.22198985575639,26.512763122839093,85.78735271550362,56.69402626484329,15,True,Severe-heat screening priority,56.69402626484329,15,59.17403523136636,16
Mandera East,age60plus,2025,150.9935306027363,0.0,100.0,-0.5517297297297297,64.98267518057906,23.530888316260995,87.64204539058909,55.946044652785154,16,True,Severe-heat screening priority,55.946044652785154,16,58.71853629580971,19
Kitui South,age60plus,2025,73.23139056815715,0.0,100.0,-0.520231046931408,46.96648816039763,57.11291305654272,86.27770126480591,55.90709759490241,17,True,Severe-heat screening priority,55.90709759490241,17,63.45236749391543,10
Turkana North,age60plus,2025,167.28835762990923,0.0,100.0,-0.5015047021943574,68.75791401856,15.58406925887823,85.46658231729401,55.31206083546557,18,True,Severe-heat screening priority,55.31206083546557,18,56.60285519824408,25
Ijara,age60plus,2025,156.61074574585007,0.0,100.0,-0.5453943661971831,66.28408996296457,18.981658676516226,87.36763340721588,55.25589209366777,19,True,Severe-heat screening priority,55.25589209366777,19,57.54446068223223,22
Garsen,age60plus,2025,154.76299191194084,0.0,100.0,-0.3836894409937888,65.85599630936704,20.824203948898976,80.36349402068845,54.52258325792484,20,True,Severe-heat screening priority,54.52258325792484,20,55.68123142631816,31
Wajir West,age60plus,2025,178.4931334817403,0.0,100.0,-0.6163369565217391,71.35387314694862,4.0034986370880645,90.44046369021136,54.011749375479866,21,True,Severe-heat screening priority,54.011749375479866,21,55.26594515808267,32
Balambala,age60plus,2025,174.1286278694823,0.0,100.0,-0.6895740740740741,70.34269020720308,3.5849711679097944,93.612679867046,53.80587294439153,22,True,Severe-heat screening priority,53.80587294439153,22,55.846780414052965,30
Mwingi North,age60plus,2025,64.41937256393959,0.0,100.0,-0.5918203266787659,44.92489099860923,51.84654149031755,89.37854246244358,53.66943386569688,23,True,Severe-heat screening priority,53.66943386569688,23,62.04999165045678,11
