adm2_name,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Turkana East,2025,258.97424337615263,0.5461274510270937,100.0,-0.4886857142857143,100.0,12.174166690051257,84.91133653245838,71.38895048688414,1,True,Severe-heat screening priority,71.38895048688414,1,65.69516774083654,5
Turkana South,2025,255.43492552728284,0.0,100.0,-0.5940390070921986,89.17999926107036,25.44551629017419,89.47464310285571,70.10385094606931,2,True,Severe-heat screening priority,70.10385094606931,2,68.03338621803341,2
Bura,2025,169.38061277375107,0.0,100.0,-0.4970052356020942,69.24265453558574,62.90582177339449,85.27169096727735,69.7459601716821,3,True,Severe-heat screening priority,69.7459601716821,3,72.47338909208587,1
Wajir South,2025,221.9536185145301,0.0,100.0,-0.663955,81.42294051045428,28.929581406655867,92.50300701358849,67.3369427547849,4,True,Severe-heat screening priority,67.3369427547849,4,67.61850964356621,3
Turkana Central,2025,232.96601030606607,0.0,100.0,-0.3597581395348837,83.97432747032444,30.01196638577532,79.32692589570186,67.08850890876633,5,True,Severe-heat screening priority,67.08850890876633,5,64.43773991726721,8
Dadaab,2025,218.3942942889105,0.0,100.0,-0.371765625,80.59830462870372,34.911240932203945,79.84702200145493,66.77949312566648,6,True,Severe-heat screening priority,66.77949312566648,6,65.11885585412087,6
Isiolo North,2025,159.429753411523,0.0,100.0,-0.4598943661971831,66.93720688198846,40.36961850024444,83.6642587771924,61.47598815174585,7,True,Severe-heat screening priority,61.47598815174585,7,63.657028053141765,9
Galole,2025,183.63313835866307,0.0,100.0,-0.4186551724137931,72.54472629355837,30.977951703770515,81.87801101087628,61.47468662421971,8,True,Severe-heat screening priority,61.47468662421971,8,61.80022966940172,13
Fafi,2025,195.86445636885367,0.0,100.0,-0.5596808510638298,75.37851806776774,22.50611968587506,87.98644282952414,61.407987267463405,9,True,Severe-heat screening priority,61.407987267463405,9,61.957026861055645,12
Magarini,2025,108.99166843878425,0.0,100.0,-0.4226046511627906,55.25154633555052,57.790997546059735,82.04908000971668,60.033011749828205,10,True,Severe-heat screening priority,60.033011749828205,10,65.03054129710898,7
Dujis,2025,202.21409882683443,0.0,100.0,0.1734615384615384,76.84962400676832,30.307001337191643,56.23087644866976,59.79402507218054,11,True,Severe-heat screening priority,59.79402507218054,11,54.46250059754325,38
Lagdera,2025,184.32897444217429,0.0,100.0,-0.585716049382716,72.7059398739762,20.0976647926759,89.1141398229954,59.384687341939,12,True,Severe-heat screening priority,59.384687341939,12,60.63924816321583,14
Kinango,2025,54.00861862519477,0.0,100.0,-0.4416464646464646,42.51289346487221,77.45196304930775,82.87386327246612,59.04875981134197,13,True,Severe-heat screening priority,59.04875981134197,13,67.6129065955487,4
North Horr,2025,158.8194198180675,0.0,100.0,-0.440576,66.79580279820806,27.19459787305153,82.82749682083976,57.32019542405585,14,True,Severe-heat screening priority,57.32019542405585,14,58.93929916403312,18
Turkana West,2025,152.02646955161725,0.0,100.0,-0.5089103448275862,65.22198985575639,26.512763122839093,85.78735271550362,56.69402626484329,15,True,Severe-heat screening priority,56.69402626484329,15,59.17403523136636,16
Mandera East,2025,150.9935306027363,0.0,100.0,-0.5517297297297297,64.98267518057906,23.530888316260995,87.64204539058909,55.946044652785154,16,True,Severe-heat screening priority,55.946044652785154,16,58.71853629580971,19
Kitui South,2025,73.23139056815715,0.0,100.0,-0.520231046931408,46.96648816039763,57.11291305654272,86.27770126480591,55.90709759490241,17,True,Severe-heat screening priority,55.90709759490241,17,63.45236749391543,10
Turkana North,2025,167.28835762990923,0.0,100.0,-0.5015047021943574,68.75791401856,15.58406925887823,85.46658231729401,55.31206083546557,18,True,Severe-heat screening priority,55.31206083546557,18,56.60285519824408,25
Ijara,2025,156.61074574585007,0.0,100.0,-0.5453943661971831,66.28408996296457,18.981658676516226,87.36763340721588,55.25589209366777,19,True,Severe-heat screening priority,55.25589209366777,19,57.54446068223223,22
Garsen,2025,154.76299191194084,0.0,100.0,-0.3836894409937888,65.85599630936704,20.824203948898976,80.36349402068845,54.52258325792484,20,True,Severe-heat screening priority,54.52258325792484,20,55.68123142631816,31
Turkana East,2025,258.97424337615263,0.5461274510270937,100.0,-0.4886857142857143,100.0,10.583469211788104,84.91133653245836,70.91174124340519,1,True,Severe-heat screening priority,70.91174124340519,1,65.16493524808216,2
Turkana South,2025,255.43492552728284,0.0,100.0,-0.5940390070921986,89.17999926107035,11.926344696648108,89.47464310285568,66.04809946801149,2,True,Severe-heat screening priority,66.04809946801149,2,63.52699568685805,3
Wajir South,2025,221.9536185145301,0.0,100.0,-0.663955,81.42294051045428,24.30488881500381,92.50300701358849,65.94953497728928,3,True,Severe-heat screening priority,65.94953497728928,3,66.07694544634886,1
Turkana Central,2025,232.96601030606607,0.0,100.0,-0.3597581395348837,83.97432747032444,15.061286609618923,79.32692589570185,62.6033049759194,4,True,Severe-heat screening priority,62.6033049759194,4,59.45417999188174,6
Dadaab,2025,218.3942942889105,0.0,100.0,-0.3717656249999999,80.59830462870372,19.69172397701381,79.8470220014549,62.21363803910943,5,True,Severe-heat screening priority,62.21363803910943,5,60.04568353572415,5
Bura,2025,169.38061277375107,0.0,100.0,-0.4970052356020942,69.24265453558574,27.8108686117566,85.27169096727734,59.217474223190735,6,True,Severe-heat screening priority,59.217474223190735,6,60.77507137153989,4
Fafi,2025,195.86445636885367,0.0,100.0,-0.5596808510638298,75.37851806776774,13.195838430287424,87.98644282952412,58.61490289078711,7,True,Severe-heat screening priority,58.61490289078711,7,58.85359977585976,7
Lagdera,2025,184.32897444217429,0.0,100.0,-0.585716049382716,72.7059398739762,11.136089385889488,89.11413982299538,56.69621471990307,8,True,Severe-heat screening priority,56.69621471990307,8,57.6520563609537,8
Galole,2025,183.63313835866307,0.0,100.0,-0.4186551724137931,72.54472629355837,13.189863687892322,81.87801101087625,56.13826021945624,9,True,Severe-heat screening priority,56.13826021945624,9,55.87086699744231,11
Dujis,2025,202.2140988268344,0.0,100.0,0.1734615384615384,76.84962400676832,16.80122915966685,56.23087644866976,55.7422934189231,10,True,Severe-heat screening priority,55.7422934189231,10,49.96057653836831,30
Turkana West,2025,152.02646955161725,0.0,100.0,-0.5089103448275862,65.22198985575639,19.443560990281178,85.7873527155036,54.57326562507591,11,True,Severe-heat screening priority,54.57326562507591,11,56.81763452051373,9
Isiolo North,2025,159.429753411523,0.0,100.0,-0.4598943661971831,66.93720688198846,16.645500464535207,83.6642587771924,54.35875274103307,12,True,Severe-heat screening priority,54.35875274103307,12,55.74898870790535,12
Wajir West,2025,178.4931334817403,0.0,100.0,-0.6163369565217391,71.35387314694862,4.035330237353176,90.44046369021132,54.021298855559394,13,True,Severe-heat screening priority,54.021298855559394,13,55.27655569150437,15
Balambala,2025,174.1286278694823,0.0,100.0,-0.6895740740740741,70.34269020720308,3.1630749960807822,93.612679867046,53.67930409284283,14,True,Severe-heat screening priority,53.67930409284283,14,55.70614835677662,14
Mandera East,2025,150.9935306027363,0.0,100.0,-0.5517297297297297,64.98267518057906,14.615373975267987,87.64204539058908,53.27139035048725,15,True,Severe-heat screening priority,53.27139035048725,15,55.74669818214537,13
Turkana North,2025,167.28835762990923,0.0,100.0,-0.5015047021943574,68.75791401856,7.809043490719063,85.466582317294,52.97955310501782,16,True,Severe-heat screening priority,52.97955310501782,16,54.01117994219103,17
Ijara,2025,156.61074574585007,0.0,100.0,-0.5453943661971831,66.28408996296457,10.717790987378612,87.36763340721586,52.77673178692648,17,True,Severe-heat screening priority,52.77673178692648,17,54.78983811918635,16
North Horr,2025,158.8194198180675,0.0,100.0,-0.440576,66.79580279820806,10.403208739243402,82.82749682083974,52.28277868391341,18,True,Severe-heat screening priority,52.28277868391341,18,53.34216945276373,18
Wajir East,2025,165.02143279887173,0.0,100.0,-0.4302407407407406,68.23270545693214,7.982619484355781,82.37983206136072,52.279748655823525,19,True,Severe-heat screening priority,52.279748655823525,19,52.865052334216216,20
Mandera South,2025,119.87632343584563,0.0,100.0,-0.7170000000000001,57.77333881695611,15.95135744281771,94.8006152855136,50.78083587499822,20,True,Severe-heat screening priority,50.78083587499822,20,56.17510384842914,10
Wajir South,2025,221.9536185145301,0.0,100.0,-0.663955,81.42294051045428,43.75170318066275,92.50300701358849,71.78357928698695,1,True,Severe-heat screening priority,71.78357928698695,1,72.5592169015685,1
Turkana East,2025,258.97424337615263,0.5461274510270937,100.0,-0.4886857142857143,100.0,12.434451192463582,84.91133653245836,71.46703583760784,2,True,Severe-heat screening priority,71.46703583760784,2,65.78192924164064,3
Turkana South,2025,255.43492552728284,0.0,100.0,-0.5940390070921986,89.17999926107036,18.16156984474032,89.47464310285568,67.91866701243916,3,True,Severe-heat screening priority,67.91866701243916,3,65.60540406955546,4
Bura,2025,169.38061277375107,0.0,100.0,-0.4970052356020942,69.24265453558574,52.16950224759741,85.27169096727734,66.52506431394298,4,True,Severe-heat screening priority,66.52506431394298,4,68.89461591682016,2
Dadaab,2025,218.3942942889105,0.0,100.0,-0.371765625,80.59830462870372,32.77147778728383,79.8470220014549,66.13756418219043,5,True,Severe-heat screening priority,66.13756418219043,5,64.40560147248083,5
Turkana Central,2025,232.96601030606607,0.0,100.0,-0.3597581395348837,83.97432747032444,26.60822792982417,79.32692589570185,66.06738737198097,6,True,Severe-heat screening priority,66.06738737198097,6,63.30316043195016,7
Fafi,2025,195.86445636885367,0.0,100.0,-0.5596808510638298,75.37851806776774,21.95819432329101,87.98644282952412,61.243609658688186,7,True,Severe-heat screening priority,61.243609658688186,7,61.77438507352762,8
Galole,2025,183.63313835866307,0.0,100.0,-0.4186551724137931,72.54472629355837,25.95342615523188,81.87801101087625,59.9673289596581,8,True,Severe-heat screening priority,59.9673289596581,8,60.12538781988883,10
Lagdera,2025,184.32897444217429,0.0,100.0,-0.585716049382716,72.7059398739762,19.751128310660825,89.11413982299538,59.28072639733448,9,True,Severe-heat screening priority,59.28072639733448,9,60.52373600254413,9
Dujis,2025,202.2140988268344,0.0,100.0,0.1734615384615383,76.84962400676832,28.015454944013324,56.23087644866976,59.10656115422704,10,True,Severe-heat screening priority,59.10656115422704,10,53.698651799817135,28
Isiolo North,2025,159.429753411523,0.0,100.0,-0.4598943661971831,66.93720688198846,28.77543236198977,83.66425877719239,57.99773231026944,11,True,Severe-heat screening priority,57.99773231026944,11,59.79229934039021,13
Mandera South,2025,119.87632343584563,0.0,100.0,-0.7170000000000001,57.77333881695611,39.28467433323936,94.8006152855136,57.78083094212472,12,True,Severe-heat screening priority,57.78083094212472,12,63.95287614523636,6
Turkana West,2025,152.02646955161725,0.0,100.0,-0.5089103448275862,65.22198985575639,29.020509255252744,85.7873527155036,57.44635010456737,13,True,Severe-heat screening priority,57.44635010456737,13,60.00995060883759,11
Mandera East,2025,150.9935306027363,0.0,100.0,-0.5517297297297297,64.98267518057906,27.095021916558988,87.64204539058908,57.01528473287455,14,True,Severe-heat screening priority,57.01528473287455,14,59.90658082924238,12
Wajir West,2025,178.4931334817403,0.0,100.0,-0.6163369565217391,71.35387314694863,9.104739215317446,90.44046369021132,55.54212154894868,15,True,Severe-heat screening priority,55.54212154894868,15,56.96635868415913,16
Ijara,2025,156.61074574585007,0.0,100.0,-0.5453943661971831,66.28408996296457,18.56014666053979,87.36763340721586,55.12943848887483,16,True,Severe-heat screening priority,55.12943848887483,16,57.40395667690674,15
Turkana North,2025,167.28835762990923,0.0,100.0,-0.5015047021943574,68.75791401856,14.388791946410052,85.466582317294,54.95347764172512,17,True,Severe-heat screening priority,54.95347764172512,17,56.20442942742135,18
Balambala,2025,174.12862786948233,0.0,100.0,-0.6895740740740741,70.34269020720308,5.665819893116472,93.612679867046,54.43012756195354,18,True,Severe-heat screening priority,54.43012756195354,18,56.54039665578852,17
Wajir East,2025,165.02143279887173,0.0,100.0,-0.4302407407407407,68.23270545693214,13.52377932655505,82.37983206136072,53.9420966084833,19,True,Severe-heat screening priority,53.9420966084833,19,54.7121056149493,23
North Horr,2025,158.8194198180675,0.0,100.0,-0.440576,66.79580279820806,15.606787003761552,82.82749682083974,53.84385216326886,20,True,Severe-heat screening priority,53.84385216326886,20,55.07669554093645,21
